school,latitude,longitude,n,nfree,free,noneparent,oneparent,nlimeng,limeng
ADAMS,47.673551,-122.391874,482,107,0.222,117,24.30%,43,8.90%
ALKI,47.577331,-122.407724,357,93,0.261,80,22.40%,20,5.60%
APPATLINCOLN,47.659985,-122.340031,524,3,0.006,13,2.50%,0,0.00%
ARBORHEIGHTS,47.509544,-122.378666,337,124,0.368,89,26.40%,24,7.10%
BAGLEY,47.686624,-122.342296,402,53,0.132,49,12.20%,7,1.70%
BEACONHILL,47.584849,-122.315326,461,292,0.633,142,30.80%,209,45.30%
BFDAY,47.65498,-122.349062,336,129,0.384,101,30.10%,52,15.50%
BRYANT,47.671784,-122.292144,579,37,0.064,48,8.30%,11,1.90%
COE,47.640515,-122.36575,452,69,0.153,97,21.50%,43,9.50%
CONCORDINTL,47.523669,-122.324244,409,321,0.785,149,36.40%,171,41.80%
DEARBORNPARK,47.5523,-122.296078,337,296,0.878,142,42.10%,112,33.20%
DUNLAP,47.525004,-122.274777,376,317,0.843,160,42.60%,182,48.40%
EMERSON,47.514722,-122.258746,287,234,0.815,144,50.20%,79,27.50%
GATEWOOD,47.540293,-122.388568,461,176,0.382,135,29.30%,64,13.90%
GATZERT,47.601259,-122.315351,378,337,0.892,185,48.90%,156,41.30%
GRAHAMHILL,47.545752,-122.268524,403,258,0.64,136,33.70%,120,29.80%
GREENLAKE,47.676335,-122.328558,259,48,0.185,53,20.50%,4,1.50%
GREENWOOD,47.687266,-122.360066,357,93,0.261,77,21.60%,11,3.10%
HAWTHORNE,47.565857,-122.28334,321,245,0.763,165,51.40%,97,30.20%
HAY,47.632845,-122.352289,546,84,0.154,110,20.10%,5,0.90%
HIGHLANDPARK,47.525699,-122.348758,427,334,0.782,181,42.40%,116,27.20%
JSTANFORDINTL,47.65698,-122.324008,451,29,0.064,33,7.30%,23,5.10%
K-5STEM@BOREN(a),47.548716,-122.362401,268,85,0.317,78,29.10%,11,4.10%
KIMBALL,47.574187,-122.302587,475,271,0.571,93,19.60%,174,36.60%
LAFAYETTE,47.579679,-122.387083,548,104,0.19,101,18.40%,8,1.50%
LAURELHURST,47.662217,-122.277817,410,38,0.093,28,6.80%,5,1.20%
LAWTON,47.657076,-122.390438,433,60,0.139,82,18.90%,2,0.50%
LESCHI,47.602438,-122.29185,366,211,0.577,176,48.10%,62,16.90%
LOWELL,47.62442,-122.318104,182,92,0.505,74,40.70%,18,9.90%
LOYALHEIGHTS,47.686631,-122.389237,426,21,0.049,53,12.40%,1,0.20%
MAPLE,47.558025,-122.318589,473,299,0.632,130,27.50%,164,34.70%
MARTINLKINGJR.,47.541934,-122.27714,362,308,0.851,155,42.80%,144,39.80%
MCDONALD,47.65971,-122.339919,277,30,0.108,44,15.90%,7,2.50%
MCGILVRA,47.633924,-122.284783,301,44,0.146,74,24.60%,4,1.30%
MONTLAKE,47.640588,-122.304076,238,17,0.071,30,12.60%,0,0.00%
MUIR,47.573408,-122.290373,459,301,0.656,166,36.20%,124,27.00%
NORTHBEACH,47.695085,-122.387057,314,34,0.108,29,9.20%,3,1.00%
NORTHGATE,47.714579,-122.329401,248,216,0.871,118,47.60%,102,41.10%
OLYMPICHILLS,47.723873,-122.306731,271,197,0.727,113,41.70%,77,28.40%
OLYMPICVIEW,47.69815,-122.321446,481,151,0.314,102,21.20%,56,11.60%
QUEENANNE,47.637843,-122.348989,279,22,0.079,33,11.80%,4,1.40%
RAINIERVIEW,47.499086,-122.263338,181,121,0.669,77,42.50%,45,24.90%
ROGERS,47.707231,-122.284748,307,119,0.388,99,32.20%,12,3.90%
ROXHILL,47.518073,-122.370831,368,288,0.783,143,38.90%,119,32.30%
SACAJAWEA,47.698462,-122.307654,260,66,0.254,52,20.00%,16,6.20%
SANDPOINT,47.673607,-122.26295,231,118,0.511,73,31.60%,65,28.10%
SANISLO,47.539759,-122.358836,281,189,0.673,109,38.80%,77,27.40%
SCHMITZPARK,47.572466,-122.396692,536,67,0.125,90,16.80%,4,0.70%
STEVENS,47.631609,-122.307713,377,144,0.382,97,25.70%,56,14.90%
THORNTONCREEK,47.685436,-122.282551,362,28,0.077,32,8.80%,1,0.30%
THURGOODMARSHALL,47.591014,-122.299262,455,143,0.314,89,19.60%,44,9.70%
VANASSELT,47.528944,-122.288987,523,422,0.807,180,34.40%,238,45.50%
VIEWRIDGE,47.680663,-122.276304,598,33,0.055,47,7.90%,9,1.50%
VIEWLANDS,47.706097,-122.361026,246,144,0.585,92,37.40%,59,24.00%
WEDGWOOD,47.69057,-122.297589,471,42,0.089,42,8.90%,6,1.30%
WESTSEATTLEELEM,47.541786,-122.373861,399,356,0.892,184,46.10%,155,38.80%
WESTWOODLAND,47.670394,-122.362236,486,34,0.07,52,10.70%,3,0.60%
WHITTIER,47.683638,-122.373609,466,65,0.139,71,15.20%,3,0.60%
WINGLUKE,47.530809,-122.284992,331,271,0.819,89,26.90%,114,34.40%